2022-07-13/00:13:12		Error while creating table: near "Enquiry": syntax error 
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
